customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00011,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.68,79.17,No
CUST-00012,Male,0,No,No,10,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,91.03,914.14,No
CUST-00013,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.46,127.3,No
CUST-00014,Female,0,Yes,No,50,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,77.79,3888.51,No
CUST-00015,Male,0,No,No,57,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,109.76,6259.26,No
CUST-00016,Female,0,No,Yes,59,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),59.91,3527.6,No
CUST-00017,Female,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),95.02,1615.72,No
CUST-00018,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,97.98,6466.77,No
CUST-00019,Male,0,Yes,Yes,16,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,19.03,306.55,No
CUST-00020,Female,1,No,No,33,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),109.49,3615.56,No
CUST-00021,Male,0,No,Yes,29,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,36.88,1067.48,No
CUST-00022,Female,0,Yes,No,18,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),46.27,842.13,No
CUST-00023,Female,1,No,Yes,8,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,105.08,835.22,No
CUST-00024,Female,0,No,No,39,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),86.66,3377.36,No
CUST-00025,Female,0,No,No,43,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,55.19,2377.46,No
CUST-00026,Female,0,No,Yes,58,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Mailed check,26.79,1550.65,No
CUST-00027,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),56.62,1359.44,No
CUST-00028,Female,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Electronic check,114.63,8021.44,No
CUST-00029,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),28.46,1477.96,No
CUST-00030,Male,0,Yes,No,47,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,102.61,4816.2,No
CUST-00031,Male,0,Yes,Yes,70,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,50.53,3540.9,No
CUST-00032,Female,0,No,No,52,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,83.46,4343.83,No
CUST-00033,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,81.15,3899.1,No
CUST-00034,Female,0,No,No,42,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),50.56,2121.37,No
CUST-00035,Male,0,Yes,No,18,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),23.43,423.4,No
CUST-00036,Female,1,No,No,65,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,32.88,2147.18,No
CUST-00037,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),74.58,2462.59,No
CUST-00038,Male,1,No,No,53,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,112.89,5977.39,No
CUST-00039,Male,0,Yes,No,0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,110.58,0.0,No
CUST-00040,Male,0,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,29.35,1580.39,No
CUST-00041,Male,0,No,Yes,14,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Credit card (automatic),105.52,1483.88,No
CUST-00042,Female,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,41.38,581.29,No
CUST-00043,Female,0,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),108.99,2389.91,No
CUST-00044,Female,0,Yes,Yes,65,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),93.85,6106.76,No
CUST-00045,Female,0,No,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),114.13,5138.68,No
CUST-00046,Female,1,Yes,No,8,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),62.17,498.23,No
CUST-00047,Male,0,No,No,65,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),91.16,5932.99,No
CUST-00048,Female,0,Yes,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,91.53,5948.3,No
CUST-00049,Female,0,Yes,No,17,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),67.62,1156.35,No
CUST-00050,Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),115.45,1836.15,No
CUST-00051,Female,0,No,Yes,71,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,42.37,3004.61,No
CUST-00052,Male,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),116.62,3852.42,No
CUST-00053,Female,1,Yes,No,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,99.21,6754.67,No
CUST-00054,Male,0,Yes,No,63,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,79.61,5009.34,No
CUST-00055,Female,0,Yes,No,43,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),25.56,1096.99,No
CUST-00056,Female,0,No,No,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,43.94,1231.15,Yes
CUST-00057,Male,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,102.13,6225.23,No
CUST-00058,Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),90.82,1360.98,No
CUST-00059,Male,0,No,No,51,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,114.27,5835.68,No
CUST-00060,Male,0,Yes,No,1,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,57.68,52.52,No
CUST-00061,Male,0,Yes,Yes,60,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Credit card (automatic),107.45,6445.8,No
CUST-00062,Male,0,No,Yes,3,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Electronic check,104.18,313.9,No
CUST-00063,Male,0,No,Yes,51,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,114.61,5847.44,No
CUST-00064,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,45.25,1805.68,No
CUST-00065,Female,0,No,No,51,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,67.45,3439.06,No
CUST-00066,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),26.1,781.55,No
CUST-00067,Male,1,No,Yes,25,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),77.09,1928.77,No
CUST-00068,Female,1,No,No,26,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,91.23,2366.1,No
CUST-00069,Female,0,No,No,50,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,41.8,2096.36,Yes
CUST-00070,Female,0,No,No,47,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),34.97,1644.88,No
CUST-00071,Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,81.95,824.84,No
CUST-00072,Male,0,No,No,7,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),57.31,398.31,No
CUST-00073,Female,1,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),60.66,661.16,No
CUST-00074,Male,0,Yes,Yes,44,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),65.11,2860.07,No
CUST-00075,Female,1,No,Yes,33,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,69.15,2285.45,No
CUST-00076,Female,1,Yes,No,71,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),37.55,2663.85,Yes
CUST-00077,Female,0,Yes,Yes,46,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,75.77,3477.32,No
CUST-00078,Male,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),24.91,499.1,No
CUST-00079,Female,0,Yes,No,40,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,29.35,1172.4,No
CUST-00080,Male,1,No,No,21,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),89.15,1870.67,No
CUST-00081,Female,0,No,No,20,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),91.14,1814.25,No
CUST-00082,Male,1,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),44.63,1197.47,No
CUST-00083,Female,0,Yes,No,66,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),36.47,2404.28,Yes
CUST-00084,Male,0,Yes,No,70,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Electronic check,23.4,1633.36,No
CUST-00085,Male,1,No,Yes,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,59.89,775.72,No
CUST-00086,Female,0,No,No,51,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,68.9,3518.06,No
CUST-00087,Male,0,Yes,No,42,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),107.95,4528.58,No
CUST-00088,Female,0,No,No,70,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),18.25,1272.97,No
CUST-00089,Female,0,No,No,18,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,58.59,1051.98,No
CUST-00090,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,59.93,1553.36,No
CUST-00091,Female,0,Yes,No,17,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,106.66,1812.14,No
CUST-00092,Female,1,Yes,Yes,12,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),37.6,456.34,No
CUST-00093,Female,1,Yes,Yes,0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,24.62,0.0,No
CUST-00094,Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,56.16,1854.57,Yes
CUST-00095,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),79.23,939.15,No
CUST-00096,Female,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),103.81,5190.91,No
CUST-00097,Female,0,Yes,No,0,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),44.9,7.38,No
CUST-00098,Female,1,Yes,No,27,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Electronic check,43.13,1165.0,Yes
CUST-00099,Male,0,Yes,No,31,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,50.6,1569.24,No
CUST-00100,Male,0,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),29.82,2118.65,No
CUST-00101,Female,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,115.72,6256.72,No
CUST-00102,Female,0,Yes,Yes,25,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,72.06,1808.27,No
CUST-00103,Female,0,No,No,13,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,45.22,582.75,No
CUST-00104,Female,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,54.17,3635.4,No
CUST-00105,Female,0,No,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,104.6,6492.08,No
CUST-00106,Female,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),85.37,1101.26,No
CUST-00107,Female,0,No,No,26,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),73.32,1906.45,Yes
CUST-00108,Female,0,No,Yes,40,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),90.48,3621.83,No
CUST-00109,Male,0,Yes,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,93.58,173.16,No
CUST-00110,Female,0,Yes,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),37.42,2166.96,No
CUST-00111,Male,0,No,No,22,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,33.87,741.56,No
CUST-00112,Female,0,No,No,17,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),114.67,1946.16,No
CUST-00113,Female,0,Yes,No,40,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,36.57,1468.02,No
CUST-00114,Male,0,No,No,7,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),64.48,451.08,No
CUST-00115,Female,1,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,116.28,3606.79,Yes
CUST-00116,Male,1,No,No,40,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Mailed check,59.72,2389.25,No
CUST-00117,Female,0,No,No,44,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,69.48,3069.46,No
CUST-00118,Female,1,No,No,8,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),97.84,787.7,No
CUST-00119,Male,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),52.04,2445.79,No
CUST-00120,Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),61.1,1403.98,Yes
CUST-00121,Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),51.22,2198.98,No
CUST-00122,Female,0,Yes,No,57,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,46.74,2659.31,No
CUST-00123,Male,0,No,Yes,65,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),65.18,4230.72,No
CUST-00124,Male,0,No,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),92.59,1578.94,No
CUST-00125,Female,0,No,No,28,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),104.73,2927.96,No
CUST-00126,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),65.01,68.22,No
CUST-00127,Male,0,No,No,67,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),50.1,3354.18,No
CUST-00128,Female,1,No,No,38,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,109.16,4144.32,Yes
CUST-00129,Female,0,No,Yes,40,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,51.59,2061.95,No
CUST-00130,Female,0,No,Yes,70,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,95.5,6693.96,No
CUST-00131,Male,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),92.86,1965.25,No
CUST-00132,Male,0,Yes,Yes,48,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),22.98,1101.21,No
CUST-00133,Male,0,No,No,27,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),35.76,963.23,No
CUST-00134,Male,0,Yes,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),75.28,1133.98,No
CUST-00135,Male,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,104.76,7019.68,No
CUST-00136,Male,0,No,No,61,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,77.4,4718.13,No
CUST-00137,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,92.27,3231.9,No
CUST-00138,Male,0,No,No,21,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Electronic check,91.44,1924.08,No
CUST-00139,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),67.44,673.2,No
CUST-00140,Female,0,No,No,41,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,74.08,3036.22,No
CUST-00141,Male,0,No,Yes,54,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),25.13,1365.59,No
CUST-00142,Female,0,Yes,Yes,34,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,110.77,3762.08,No
CUST-00143,Female,1,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,85.43,4781.38,No
CUST-00144,Female,1,No,Yes,33,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),33.45,1101.54,No
CUST-00145,Male,1,Yes,No,69,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),42.4,2934.1,Yes
CUST-00146,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,18.47,45.53,No
CUST-00147,Male,0,Yes,No,45,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),44.4,2002.11,No
CUST-00148,Male,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),49.66,496.45,No
CUST-00149,Female,0,Yes,No,60,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Electronic check,86.31,5187.67,No
CUST-00150,Male,0,Yes,No,34,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),65.67,2234.56,No
CUST-00151,Male,0,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),102.28,6944.28,No
CUST-00152,Male,1,No,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),26.68,1502.14,No
CUST-00153,Male,0,Yes,Yes,10,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),88.7,885.82,No
CUST-00154,Male,1,Yes,No,11,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,105.49,1150.19,Yes
CUST-00155,Female,0,No,No,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),60.13,2523.43,No
CUST-00156,Male,0,Yes,No,18,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),46.87,843.84,No
CUST-00157,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,62.56,4186.27,No
CUST-00158,Male,0,No,No,58,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,96.88,5611.38,No
CUST-00159,Female,0,No,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),109.9,111.38,No
CUST-00160,Male,0,No,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.56,165.7,No
CUST-00161,Male,0,No,No,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),70.85,1482.72,Yes
CUST-00162,Female,0,No,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,81.97,1646.19,No
CUST-00163,Female,1,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),19.75,551.35,No
CUST-00164,Female,0,No,Yes,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.12,1294.23,No
CUST-00165,Male,1,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),24.26,674.8,No
CUST-00166,Female,0,Yes,No,36,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,47.04,1695.37,No
CUST-00167,Male,0,No,No,20,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),38.54,772.91,Yes
CUST-00168,Male,0,Yes,No,11,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,66.68,736.81,Yes
CUST-00169,Female,0,Yes,No,47,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.53,3929.93,No
CUST-00170,Female,0,Yes,Yes,46,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),102.22,4703.79,No
CUST-00171,Male,0,No,No,14,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,48.43,681.06,Yes
CUST-00172,Male,0,Yes,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.04,1518.26,Yes
